Combination_ID,verbosity,subsample,reg_lambda,reg_alpha,random_state,objective,num_leaves,n_estimators,max_bin,learning_rate,colsample_bytree,boosting_type,f1,accuracy,precision,recall
1,-1,0.75,1.2,1.0,500,binary,6,24,255,0.005,0.65,dart,0.7053634876009157,0.7272499704887906,0.7658278629950193,0.6537702701758358
2,-1,0.75,1.0,1.0,500,binary,12,24,510,0.01,0.65,gbdt,0.7060836449364037,0.728571400336595,0.7687962322617229,0.652876388898062
3,-1,0.75,1.2,1.2,500,binary,8,8,510,0.005,0.65,gbdt,0.6951631587269561,0.7209642603445497,0.764890059369096,0.6371077929484086
4,-1,0.7,1.0,1.0,500,binary,6,8,255,0.01,0.64,dart,0.6968901471540271,0.7233214185095916,0.7693789016476739,0.6369289008628941
5,-1,0.7,1.4,1.0,500,binary,16,8,510,0.005,0.66,gbdt,0.694540875745118,0.7208035250124386,0.7655477388666029,0.6356060498494253
6,-1,0.75,1.2,1.0,500,binary,16,24,510,0.005,0.64,dart,0.7048929613149078,0.7293928046734207,0.7739456338036653,0.6471911246267542
7,-1,0.7,1.0,1.2,500,binary,16,8,255,0.005,0.65,dart,0.6957870494393585,0.7233213965066477,0.7715346954081062,0.6336035799711405
8,-1,0.75,1.2,1.2,500,binary,16,8,510,0.005,0.64,gbdt,0.6945997103666747,0.720696384068527,0.7650753128863768,0.6360350962937029
9,-1,0.75,1.2,1.2,500,binary,8,8,510,0.005,0.66,gbdt,0.6951631587269561,0.7209642603445497,0.764890059369096,0.6371077929484086
10,-1,0.7,1.0,1.0,500,binary,16,24,510,0.005,0.64,dart,0.7049336313950495,0.7294463780153259,0.7740470574358058,0.6471911207913251
11,-1,0.75,1.2,1.0,500,binary,16,8,255,0.005,0.66,gbdt,0.6951364051211079,0.7213571009057286,0.7662319948908101,0.636142354069343
12,-1,0.75,1.0,1.0,500,binary,16,8,510,0.01,0.65,dart,0.6994687597111775,0.7241071197215939,0.7669879716903542,0.6429004070456557
13,-1,0.7,1.0,1.2,500,binary,6,8,510,0.01,0.64,dart,0.6974462471778913,0.7235178416601302,0.7689499603156618,0.6381446628596044
14,-1,0.7,1.4,1.0,500,binary,12,8,510,0.01,0.66,dart,0.699799761383189,0.7244999612394226,0.767615277550035,0.6430076034544299
15,-1,0.75,1.2,1.2,500,binary,6,8,255,0.005,0.65,dart,0.6948613204468567,0.7224999921698219,0.7705868833247195,0.632709675680792
16,-1,0.7,1.2,1.2,500,binary,12,16,510,0.01,0.66,gbdt,0.7050981836326266,0.7278928285887075,0.7684773701048057,0.6514460154643428
17,-1,0.75,1.0,1.0,500,binary,12,16,255,0.005,0.66,dart,0.7050812113747508,0.7283035384103184,0.7699161071904076,0.6503735374290976
18,-1,0.75,1.2,1.0,500,binary,6,8,255,0.005,0.64,gbdt,0.6930881280343764,0.7200535470149042,0.7658532964871024,0.6329957334916476
19,-1,0.75,1.0,1.0,500,binary,6,24,510,0.005,0.64,gbdt,0.7029710842206672,0.7267856710622292,0.7690213072473518,0.6474414208963951
20,-1,0.7,1.0,1.2,500,binary,6,8,255,0.005,0.66,gbdt,0.6930881280343764,0.7200535470149042,0.7658532964871024,0.6329957334916476
