Combination_ID,solver,penalty,C,f1,accuracy,precision,recall
1,liblinear,l1,0.001,0.6867267297755459,0.6980714446419142,0.7127198807701537,0.6626378973889081
2,liblinear,l2,0.001,0.6924552523560782,0.7044821726436966,0.72098376561488,0.6661421142016053
3,liblinear,l1,0.01,0.6930825209598507,0.7060714730276252,0.724277752928877,0.6644974323297786
4,liblinear,l2,0.01,0.6926712545375177,0.7050714650549063,0.7221860929695828,0.6654986174083424
5,liblinear,l1,0.1,0.7058123122956892,0.7189642807518019,0.7395652980296372,0.6750810957382253
6,liblinear,l2,0.1,0.6926935886178724,0.7053571608455744,0.7228982753648022,0.6649265056220602
7,liblinear,l1,1.0,0.7061700599732129,0.7190356984812456,0.7391551554263703,0.6760822616396434
8,liblinear,l2,1.0,0.6919813999202167,0.704625030105528,0.722025096112498,0.6643543861649198
9,liblinear,l1,10.0,0.7063156398541887,0.7190535610451293,0.738971973072144,0.6765113234256375
10,liblinear,l2,10.0,0.6928195951062618,0.7053750176695598,0.7227529397382768,0.6652840788444871
11,liblinear,l1,100.0,0.7063031243859963,0.719035704221144,0.7389384074437935,0.6765113387673539
12,liblinear,l2,100.0,0.6919457216313152,0.7046071742381924,0.7220300778276934,0.6642829167784982
13,liblinear,l1,1000.0,0.7063784517280117,0.7191071363003338,0.7390182598412277,0.676582850343496
14,liblinear,l2,1000.0,0.6917256345456595,0.7044286059983396,0.7218885186661156,0.663996843625926
