Combination_ID,n_estimators,min_samples_split,min_samples_leaf,max_depth,f1,accuracy,precision,recall
1,300,6,5,5,0.7088634106271957,0.7282321101577273,0.7622948104376635,0.6624593428211573
2,400,2,1,15,0.7214702198824113,0.7336070849693791,0.7549153286818283,0.6908855529502508
3,100,4,5,3,0.7049062665923502,0.7232677877687023,0.7538996489385292,0.66192250547659
4,300,6,1,15,0.7214579755114165,0.7333213796122133,0.7540545205420743,0.6916006111802346
5,100,8,1,11,0.7207740516952317,0.7347321002764923,0.7597961073077061,0.6855936119362972
6,300,6,5,3,0.7049970041429878,0.7236427791590939,0.7550878680633769,0.6611720270585844
7,100,6,3,11,0.7207384624528991,0.7348392603533987,0.760225922053014,0.6851645501503033
8,100,4,1,5,0.7078631551797452,0.728553524379615,0.7652712125891634,0.6584903141875386
9,300,8,5,5,0.7071302895937236,0.7271963741872919,0.7623268335338856,0.659420072069401
10,300,2,5,11,0.7208144704599612,0.7345535444730859,0.759167120144455,0.6861657774185873
11,300,2,3,5,0.7088122935445808,0.7281963888565589,0.7622453502845458,0.6623877468655741
12,400,2,1,5,0.7085810663994067,0.7282856768030843,0.7630105580506749,0.6614224192139536
13,300,2,1,15,0.7206655501704934,0.7328570878388497,0.7541311756309682,0.6900631909194773
14,100,8,1,15,0.7214400314836845,0.7331963703645195,0.7536823647876387,0.6918865692699327
15,300,4,5,15,0.7227045703530252,0.7345356857358013,0.7554340169439854,0.6927091154013044
16,400,2,5,5,0.7093071492995374,0.7284463930022005,0.7620698118982886,0.6633888245521221
17,300,4,5,8,0.7166364204879884,0.7334464099062014,0.7638393153875046,0.6749380994339451
18,400,4,1,5,0.7081021774700726,0.728303539366968,0.7639944400008613,0.6598491108428203
19,100,2,5,8,0.7168518626092156,0.7337320980436717,0.7643064526539741,0.6749737382414276
20,100,2,3,3,0.7047274411317597,0.7230178104092534,0.753487801862427,0.6619226051977475
