Combination_ID,min_samples_split,min_samples_leaf,max_depth,f1,accuracy,precision,recall
1,4,1,5,0.7146209811694119,0.7286606634102272,0.7528703272783493,0.6804091511528737
2,2,4,13,0.6911331484126814,0.7081249838696896,0.7328808674328479,0.653984628474522
3,6,4,15,0.6803198155563711,0.6964821136451939,0.7176486318826069,0.6467975252185026
4,8,3,9,0.7066279408829054,0.7217857106005628,0.7465537875419792,0.6712904107237555
5,4,4,7,0.7157721800267057,0.729964251740442,0.7545470931176577,0.6810520534546213
6,6,5,13,0.6925601003487212,0.7079642514075278,0.7301572234106134,0.6586689416284429
7,2,4,3,0.70945941954425,0.7248035272471723,0.7503321108810526,0.672828398628024
8,10,4,7,0.7157128242506845,0.7299285371358216,0.7545489543967628,0.6809447841726937
9,8,4,9,0.705894076813164,0.721321441786793,0.7464961885029325,0.6700031486571906
10,2,2,7,0.7157605016136169,0.7299463958731064,0.754514489887447,0.6810520611254796
11,10,4,11,0.7012244514329282,0.7160714130839527,0.7389485724228785,0.6671790224670925
12,4,3,15,0.6846273136205108,0.6978571283147001,0.7150618738293799,0.6567736719943617
13,4,1,15,0.6884079172777825,0.7008214376282367,0.7173752418656311,0.6618153972826859
14,2,3,15,0.6847160830868048,0.6978214137100799,0.7148524046381767,0.6571312260396428
15,8,4,15,0.6809025758685595,0.6971249793983088,0.7184798506758822,0.6471907794381324
16,6,4,3,0.70945941954425,0.7248035272471723,0.7503321108810526,0.672828398628024
17,10,3,9,0.7072295067245817,0.7222499947207285,0.7468625829679398,0.6721128072733912
18,8,2,5,0.7146209811694119,0.7286606634102272,0.7528703272783493,0.6804091511528737
19,8,3,5,0.7146209811694119,0.7286606634102272,0.7528703272783493,0.6804091511528737
20,10,4,3,0.70945941954425,0.7248035272471723,0.7503321108810526,0.672828398628024
