Combination_ID,verbosity,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree,colsample_bynode,colsample_bylevel,f1,accuracy,precision,recall
1,0,1.0,0.5,0.0,100,11,0.7,0.5,0.7,1.0,0.5,0.7076730259577061,0.7200713990556409,0.73951269258626,0.6785137511142018
2,0,0.7,0.5,10.0,400,9,1.0,0.5,0.7,1.0,0.7,0.7131969439191557,0.7209464408299041,0.7327046019243243,0.6947829280968496
3,0,0.7,1.0,10.0,300,15,0.1,0.0,0.5,0.7,0.7,0.7250148911245454,0.7352856933894775,0.7533067911598185,0.6987876300568129
4,0,0.7,0.1,0.1,100,13,0.1,0.5,0.5,1.0,0.7,0.7178719595769668,0.7292857134752952,0.7485148107327086,0.6897053760650153
5,0,0.7,0.5,0.1,500,5,0.1,10.0,0.7,0.7,1.0,0.7205347017927318,0.7346428477260072,0.7599879570730588,0.684985727102513
6,0,0.7,1.0,1.0,400,7,1.0,0.1,0.7,0.7,0.7,0.6756967448039716,0.6833213655494622,0.6914943745836591,0.6607069620993402
7,0,0.7,1.0,10.0,100,5,0.5,0.0,1.0,0.5,0.7,0.7235670242021581,0.734053517048808,0.7522743402883788,0.6969997294258166
8,0,0.7,0.1,0.0,300,7,0.01,1.0,0.7,0.7,0.7,0.7191319035744055,0.7346071111184429,0.7626116241091561,0.6803729485373089
9,0,0.5,0.5,0.5,200,15,0.1,0.1,0.5,0.7,1.0,0.7123285029760709,0.7201606908287652,0.7319345921302486,0.693853254594428
10,0,0.5,0.0,1.0,100,15,0.3,10.0,1.0,0.5,1.0,0.7205727363263746,0.7329821477889796,0.7547152559997813,0.6894193987981714
11,0,0.5,0.5,10.0,200,15,0.5,0.5,0.5,0.7,1.0,0.7195205087228054,0.7296249739980211,0.7464918817015919,0.6944610665550588
12,0,0.5,0.1,10.0,400,15,0.3,0.0,1.0,0.7,1.0,0.7114997974529939,0.7172678365540123,0.7254286165198804,0.6981796991978791
13,0,0.5,0.1,1.0,500,13,0.7,10.0,1.0,0.7,0.7,0.7188287565123787,0.7308214156444257,0.7513749760039098,0.6889904520750512
14,0,0.5,0.5,0.1,400,11,0.3,1.0,0.7,0.7,0.5,0.7071577904277051,0.7165178155072397,0.7303669425651501,0.685414811901082
15,0,0.5,0.0,1.0,100,3,1.0,1.0,1.0,0.5,1.0,0.7107606377857681,0.7224642153829688,0.7410433502167192,0.6830186467288173
16,0,1.0,0.0,10.0,200,9,0.01,0.0,0.7,0.5,0.7,0.7169671916611184,0.7328392616276561,0.7612618395734222,0.6775484848294472
17,0,0.7,0.5,10.0,300,9,0.3,10.0,0.5,1.0,1.0,0.7199977074568595,0.7329999787834222,0.7558472795015577,0.6874526751193848
18,0,1.0,10.0,1.0,300,7,1.0,1.0,0.5,0.7,1.0,0.7194209720665793,0.7316606815884855,0.7528523117176995,0.6888474480999127
19,0,0.7,0.1,0.0,200,5,1.0,0.5,0.5,0.5,0.7,0.7094415253583425,0.7213034615549917,0.7399004524707747,0.6815885456105665
20,0,0.7,1.0,1.0,200,15,0.1,0.0,0.5,0.5,0.5,0.7226205608143782,0.7342142542942184,0.754583252269246,0.6932810776058506
