Column Name,Removed,Reason for Removal,Correlation with Target,Imputation Method,Encoded,Encoding Method,Label Encoding Mapping,Scaling Method,Scaling Params
EducationLevel,False,,,,,,,standardization,"{'mean': 1.286644951140065, 'std': 0.9043163930365415}"
Diabetes,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
MemoryComplaints,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
Age,False,,,,,,,standardization,"{'mean': 74.90879478827361, 'std': 8.988129387306882}"
SystolicBP,False,,,,,,,standardization,"{'mean': 134.26477431363426, 'std': 25.943313866877524}"
PersonalityChanges,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
Ethnicity,False,,,,,,,min_max,"{'min': 0.0, 'max': 3.0}"
SleepQuality,False,,,,,,,standardization,"{'mean': 7.051081071923196, 'std': 1.7631625772134991}"
HeadInjury,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
DoctorInCharge,False,,,,True,One-Hot Encoding,,,
PhysicalActivity,False,,,,,,,standardization,"{'mean': 4.920202144068178, 'std': 2.856526269334552}"
BMI,False,,,,,,,standardization,"{'mean': 27.65569690803066, 'std': 7.21575864090247}"
CholesterolTotal,False,,,,,,,standardization,"{'mean': 225.19751887796377, 'std': 42.53233355127362}"
Gender,False,,,,,,,standardization,"{'mean': 0.5062819916240112, 'std': 0.49996053502375154}"
BehavioralProblems,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
DifficultyCompletingTasks,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
Smoking,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
Disorientation,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
CholesterolLDL,False,,,,,,,standardization,"{'mean': 124.33594410536027, 'std': 43.35649293454867}"
Diagnosis,False,,,,,,,,
FamilyHistoryAlzheimers,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
DiastolicBP,False,,,,,,,standardization,"{'mean': 89.84783620288506, 'std': 17.588402552404713}"
Confusion,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
DietQuality,False,,,,,,,standardization,"{'mean': 4.993137913666496, 'std': 2.9083780818732214}"
AlcoholConsumption,False,,,,,,,standardization,"{'mean': 10.03944170890142, 'std': 5.7565704702342755}"
Hypertension,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
Depression,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
CardiovascularDisease,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
CholesterolTriglycerides,True,Contains 'id',,,,,,,
FunctionalAssessment,False,,,,,,,standardization,"{'mean': 5.080054971172, 'std': 2.8920703517711015}"
ADL,False,,,,,,,standardization,"{'mean': 4.982958398766785, 'std': 2.949088406154477}"
PatientID,True,Contains 'id',,,,,,,
CholesterolHDL,False,,,,,,,standardization,"{'mean': 59.46353314116864, 'std': 23.133789543783998}"
MMSE,False,,,,,,,standardization,"{'mean': 14.7551319782826, 'std': 8.611147058387775}"
Forgetfulness,False,,,,,,,min_max,"{'min': 0.0, 'max': 1.0}"
