Combination_ID,verbosity,subsample,reg_lambda,reg_alpha,random_state,objective,num_leaves,n_estimators,max_bin,learning_rate,colsample_bytree,boosting_type,f1,accuracy,precision,recall
1,-1,0.7,1.4,1.2,500,binary,12,16,255,0.005,0.65,gbdt,0.7042658055379256,0.7280356803106406,0.7706214204390793,0.6484783291618822
2,-1,0.75,1.2,1.2,500,binary,8,8,510,0.005,0.66,gbdt,0.6951631587269561,0.7209642603445497,0.764890059369096,0.6371077929484086
3,-1,0.75,1.2,1.0,500,binary,8,16,255,0.005,0.66,gbdt,0.7024221862906458,0.725857120998243,0.7669859898680974,0.647906182856738
4,-1,0.7,1.2,1.2,500,binary,16,24,255,0.01,0.65,gbdt,0.7065441988469665,0.7291071031428541,0.7696465890758654,0.6530551275664113
5,-1,0.75,1.2,1.0,500,binary,12,16,255,0.005,0.65,gbdt,0.7041910365650823,0.7279999647493706,0.770650337444164,0.6483352983387399
6,-1,0.75,1.0,1.2,500,binary,12,16,510,0.01,0.65,dart,0.7058904601102088,0.7286071053747177,0.769296688342659,0.6521970155007103
7,-1,0.7,1.0,1.2,500,binary,6,16,255,0.005,0.65,dart,0.7018107463461433,0.726732101546923,0.7711735829889332,0.6439731382192235
8,-1,0.75,1.0,1.2,500,binary,12,16,255,0.01,0.65,gbdt,0.7052016720891308,0.728124971127115,0.7690475001434042,0.6511957652198515
9,-1,0.75,1.0,1.2,500,binary,12,8,510,0.005,0.65,gbdt,0.6944997152007732,0.7208928330486085,0.7659458035471346,0.635248580183585
10,-1,0.7,1.0,1.2,500,binary,8,24,510,0.005,0.64,gbdt,0.701843025387299,0.7265713996975528,0.7705065153294842,0.6444377889521217
11,-1,0.75,1.4,1.0,500,binary,12,16,510,0.01,0.66,gbdt,0.7050981836326266,0.7278928285887075,0.7684773701048057,0.6514460154643428
12,-1,0.75,1.4,1.0,500,binary,6,24,255,0.01,0.65,dart,0.705786005531103,0.7272499676188414,0.7649957608656353,0.6550932631001825
13,-1,0.7,1.0,1.2,500,binary,8,24,510,0.005,0.65,gbdt,0.701843025387299,0.7265713996975528,0.7705065153294842,0.6444377889521217
14,-1,0.7,1.0,1.0,500,binary,6,8,255,0.01,0.66,gbdt,0.6938314096403814,0.7202321209946555,0.7650198596263812,0.6347836034392109
15,-1,0.75,1.2,1.2,500,binary,12,8,510,0.005,0.64,gbdt,0.6944552196498449,0.7208035479720324,0.7657334563370672,0.6353200879242978
16,-1,0.7,1.0,1.0,500,binary,16,8,255,0.005,0.66,dart,0.6957779856850962,0.7233571111112681,0.7716734874293962,0.6334963068537838
17,-1,0.7,1.2,1.0,500,binary,8,16,510,0.005,0.64,gbdt,0.702513847875208,0.7258035457430386,0.7666215830073959,0.6483352139592989
18,-1,0.75,1.4,1.2,500,binary,16,16,255,0.005,0.64,dart,0.7059620540951769,0.7289999535890948,0.7704482300351626,0.6515175538884889
19,-1,0.7,1.0,1.2,500,binary,16,8,255,0.005,0.64,gbdt,0.6951364051211079,0.7213571009057286,0.7662319948908101,0.636142354069343
20,-1,0.7,1.0,1.0,500,binary,6,16,255,0.01,0.66,gbdt,0.7013098645604283,0.7242142558822571,0.7638069692958293,0.6483354172370429
