Combination_ID,verbosity,subsample,reg_lambda,reg_alpha,n_estimators,max_depth,learning_rate,gamma,colsample_bytree,colsample_bynode,colsample_bylevel,f1,accuracy,precision,recall
1,0,0.5,1.0,0.0,100,3,0.3,0.0,0.5,0.7,0.5,0.7177539382486599,0.7329106908368966,0.7599097532584912,0.680086883055595
2,0,0.5,0.1,1.0,300,7,0.01,10.0,1.0,0.7,0.7,0.7202980557885724,0.7330892820363433,0.7555703848397437,0.6882036866620398
3,0,0.5,10.0,10.0,300,13,0.01,0.0,1.0,0.7,0.7,0.7250651870542043,0.7348928317820044,0.7520111413467848,0.700003353699232
4,0,0.7,0.1,0.5,100,13,0.7,0.0,0.7,0.7,0.5,0.6812797592558626,0.6867856994173275,0.692631094929935,0.6703255203110556
5,0,0.7,0.1,1.0,300,11,0.7,10.0,0.5,1.0,1.0,0.7208856069931855,0.73317856519962,0.7547843099616732,0.6900630221605955
6,0,1.0,0.0,10.0,300,3,0.7,0.1,1.0,1.0,0.5,0.7244575525141391,0.7341963812071876,0.7510186318070021,0.6997886578827822
7,0,1.0,0.5,1.0,300,11,0.5,10.0,0.5,0.7,0.7,0.7176452450126347,0.7327678438982125,0.7596855634313361,0.6800156131114882
8,0,0.5,0.1,1.0,300,11,0.5,0.0,1.0,0.5,0.7,0.6753896854499777,0.6776428342965581,0.6793273598727526,0.6715056128168504
9,0,0.7,0.5,10.0,300,7,0.1,0.0,1.0,0.5,0.7,0.724660148007746,0.7348749826112169,0.7527428814643162,0.6986090026159083
10,0,0.5,0.5,0.1,300,5,0.1,1.0,0.5,0.5,0.5,0.7214245815862131,0.7346785556340794,0.7583614321550863,0.687953394227828
11,0,0.5,0.0,1.0,200,7,0.7,0.5,0.5,0.5,0.5,0.7121575464165338,0.7239821171704484,0.7430924092519774,0.6838056307612893
12,0,1.0,10.0,1.0,300,5,1.0,10.0,0.5,0.5,0.7,0.7107467147252514,0.7276249561392837,0.7567614843768001,0.6700397616636723
13,0,0.5,0.0,0.5,500,5,0.1,10.0,0.7,0.7,0.7,0.7173035464799669,0.7330714156458606,0.7612849869208399,0.6781560628289011
14,0,0.7,1.0,0.5,500,7,1.0,0.1,1.0,1.0,0.5,0.6618186187629552,0.6650000393278707,0.6673907558272294,0.6563804983187435
15,0,0.5,0.5,0.5,100,9,1.0,0.5,1.0,0.7,0.5,0.6633993256057793,0.670999938883475,0.6782220654831455,0.6492648030822797
16,0,1.0,10.0,1.0,300,7,0.1,1.0,0.7,0.7,0.5,0.7235940575877945,0.7357321082492111,0.7574329026174,0.6926732963286528
17,0,0.7,0.0,0.5,300,7,1.0,10.0,0.7,0.7,1.0,0.7265006413705527,0.7309106614983626,0.7377310365406031,0.7156646803669576
18,0,1.0,10.0,1.0,300,13,1.0,0.5,0.5,1.0,0.5,0.7164962559930913,0.7259821398124342,0.741227906970854,0.6933883123689162
19,0,0.7,1.0,1.0,100,11,0.7,0.5,1.0,1.0,1.0,0.6794680512975594,0.6818572083441906,0.6838667863372526,0.6751884724121687
20,0,0.5,0.0,0.5,400,7,1.0,1.0,1.0,0.7,1.0,0.6416136083768744,0.6490179101725145,0.6546968317120664,0.6290983966993402
